wavelength,B,G,R
466,0.7430694719223825,0.21454374276896018,0.019962301468751012
467,0.740049994210405,0.23602193215767314,0.020291812727915134
468,0.7361140214486926,0.26675478375433465,0.020660560559879092
469,0.730566530135907,0.2809303993241505,0.021041058639275054
470,0.723294681441621,0.3046634816338574,0.021405820640735162
471,0.7157849624098577,0.33918598290483015,0.02172894473930453
472,0.7090312290033166,0.3574982934326249,0.022006330383103047
473,0.7022144150318866,0.38149421836799685,0.022249734626010837
474,0.6943771114272173,0.40484295813858756,0.0224712724015345
475,0.685212673869971,0.43392031256312796,0.022683058643180657
476,0.6762215970020916,0.45293613784178044,0.022894113382597406
477,0.6694756571487057,0.4846862907759153,0.023097947326378435
478,0.6609534536927113,0.501841476840844,0.02328322314858734
479,0.6498018284492557,0.5402317317339453,0.02343860188156682
480,0.6413334727919957,0.5555480901167202,0.023552775861382456
481,0.6331547617541918,0.5906949187291435,0.023619154678005714
482,0.6236094105063648,0.5874717118304738,0.023640857657085564
483,0.6140455627966303,0.6166237712548407,0.023622200218358126
484,0.6041931717256408,0.6464243496125708,0.023567497781559508
485,0.5938564340636951,0.6635189013137844,0.023482025495588445
486,0.5837307406042743,0.6852962175424239,0.023390030881773716
487,0.5731370577188454,0.7024974695492787,0.023333155768281322
488,0.5617626017904108,0.7184017758709259,0.023353685353005655
489,0.5512262372872586,0.7394086814157328,0.02349390483384111
490,0.5402894387341848,0.7529186942039979,0.02378535545706719
491,0.5272398678039028,0.7692858370760534,0.024189109416650208
492,0.5143313797692304,0.7774888940392201,0.024637840800731024
493,0.5016336703091016,0.7953493034008714,0.025064145433587384
494,0.48949112116420185,0.8037465345738869,0.025400689032466076
495,0.4774862836009727,0.8127506043451953,0.02561702646995446
496,0.4639901293434876,0.8238804238097531,0.025780081982443644
497,0.4515787319789281,0.8310409346879216,0.025972658213158892
498,0.4390081121575195,0.836270599814071,0.02627755780532546
499,0.42233781406605403,0.8421890271539488,0.02677575372640022
500,0.41779108161196127,0.8481302712233392,0.027492719998431978
501,0.39505459521650027,0.853149846077189,0.02838976327836096
502,0.382824726653675,0.8573783227023973,0.02942461540826632
503,0.36851170162795954,0.8611700004406527,0.03055500823022721
504,0.35188243977367567,0.8648124685661307,0.03174356452839032
505,0.34175528099956515,0.8683267295325824,0.03299604764001328
506,0.32942690716660256,0.8716672023908879,0.03434067818621996
507,0.3152227611763691,0.8747892428998413,0.0358058698069422
508,0.30441943675911953,0.8776730163859529,0.03742003497116467
509,0.29531070966087514,0.8803254599880667,0.03919801879879808
510,0.2838407557009771,0.882754840714843,0.04110740996358769
511,0.2741444933467268,0.8849694281763424,0.04310551474732376
512,0.26511262830043225,0.8869784841930215,0.04514963943179655
513,0.25537587187179217,0.8887937543890623,0.047197042916127335
514,0.24605875576752265,0.8904273667424981,0.04920236161592204
515,0.2374599679010573,0.8918914492313628,0.0511162890440693
516,0.22931431008842842,0.8931978267115755,0.052889193401993946
517,0.22111385003086753,0.8943497824337451,0.05447144289112079
518,0.2127151869827582,0.8953410825816948,0.05581608305128933
519,0.2044483441862921,0.8961649944094011,0.05691002763877411
520,0.19634407110705177,0.8968147851708403,0.05776341868234822
521,0.1884667441912684,0.897284569940804,0.058386852237787494
522,0.18128852663339828,0.8975755980091147,0.05879092436086777
523,0.17479296891218243,0.89769269071605,0.058987054704789946
524,0.16851196235001345,0.8976406960295618,0.05899054221166276
525,0.16231206914774204,0.8974244624081511,0.05881782693610437
526,0.15663610158039473,0.8970510713542043,0.05848534908940211
527,0.15182641717860257,0.8965349778298587,0.05800945646287774
528,0.14755014972219016,0.8958921565611673,0.05739535686983246
529,0.14329168869604558,0.8951385822741831,0.056626645631247786
530,0.1387663542485044,0.8942900831665359,0.05568443813792156
531,0.13415173330246505,0.8933556501458451,0.05454984978065157
532,0.12964475323847086,0.8923346692409592,0.053206239137168
533,0.12524781736065038,0.8912258063122421,0.051676923944235106
534,0.12089757869868711,0.8900277272200584,0.05001962080118977
535,0.11656639976026661,0.8887396135985908,0.048293169602820346
