wv,Eu,Er,Ho,Tb,Sm,Dy,Tm
230.35,1.55E-05,-3.90E-06,-1.68E-05,6.41E-06,-7.00E-06,1.43E-05,2.64E-07
230.56,3.93E-06,-2.84E-07,-1.80E-05,-6.23E-07,-4.14E-05,2.58E-05,3.62E-06
230.76,-4.46E-06,8.09E-06,-8.92E-06,2.87E-06,-7.58E-05,3.73E-05,6.92E-06
230.96,-8.78E-06,5.85E-06,-3.64E-06,3.68E-06,-9.08E-05,4.31E-05,1.65E-06
231.17,-1.04E-05,7.53E-06,-2.32E-06,3.40E-06,-4.38E-05,3.08E-05,-2.04E-07
231.37,-1.14E-05,1.06E-05,-5.36E-06,1.86E-06,3.18E-06,1.85E-05,1.75E-06
231.58,-1.11E-05,1.23E-05,-5.75E-06,-3.24E-07,5.01E-05,6.23E-06,1.24E-06
231.78,-9.39E-06,1.52E-05,-4.88E-06,3.15E-06,6.90E-05,-5.12E-06,7.80E-06
231.99,-3.78E-06,1.67E-05,-6.55E-06,6.10E-06,5.89E-05,-1.55E-05,8.13E-06
232.19,-6.79E-06,1.13E-05,-7.13E-06,-4.05E-07,4.87E-05,-2.59E-05,4.04E-06
232.4,-9.79E-06,1.09E-05,-9.92E-06,-6.13E-06,3.86E-05,-3.64E-05,4.94E-06
232.6,-3.02E-06,-6.97E-07,-8.98E-06,-6.30E-06,4.00E-05,-2.82E-05,-5.78E-07
232.81,-3.14E-06,-5.39E-06,-9.29E-06,4.96E-06,4.53E-05,-1.38E-05,-4.76E-06
233.01,4.58E-06,-5.99E-06,-7.73E-06,1.17E-05,5.07E-05,5.96E-07,-2.35E-06
233.21,4.01E-06,-8.85E-06,-8.44E-06,1.19E-05,5.60E-05,1.50E-05,-2.58E-06
233.42,6.50E-06,-1.04E-05,-1.07E-05,3.87E-06,2.95E-05,2.84E-05,-1.85E-06
233.62,6.81E-06,-7.03E-06,-1.59E-05,7.83E-06,3.09E-06,4.17E-05,-3.12E-06
233.83,1.07E-05,-1.41E-05,-1.72E-05,2.23E-06,-2.34E-05,5.51E-05,-4.87E-06
234.03,6.62E-06,-1.50E-05,-1.44E-05,5.86E-06,-3.76E-05,6.42E-05,-6.18E-06
234.24,1.13E-05,-2.01E-05,-1.57E-05,7.26E-06,-1.68E-05,6.13E-05,-4.31E-06
234.44,1.58E-05,-2.13E-05,-1.62E-05,3.88E-06,4.04E-06,5.84E-05,-4.77E-06
234.65,1.76E-05,-1.81E-05,-1.92E-05,3.65E-06,2.49E-05,5.54E-05,-2.36E-07
234.85,1.74E-05,-1.01E-05,-3.03E-05,-1.32E-05,3.62E-05,4.79E-05,9.01E-06
235.06,1.44E-05,-8.49E-06,-3.43E-05,-2.28E-05,3.86E-05,3.62E-05,7.34E-06
235.26,1.82E-05,-8.80E-06,-3.51E-05,-2.01E-05,4.10E-05,2.44E-05,7.75E-06
235.47,1.37E-05,-3.65E-06,-3.43E-05,-1.62E-05,4.35E-05,1.27E-05,7.56E-06
235.67,1.43E-05,-1.64E-06,-2.92E-05,-1.65E-05,3.43E-05,6.28E-06,5.58E-06
235.88,7.46E-06,3.66E-06,-2.85E-05,-1.24E-05,2.17E-05,1.47E-06,4.73E-06
236.08,6.45E-06,8.41E-06,-3.08E-05,-1.90E-05,9.15E-06,-3.35E-06,6.56E-06
236.28,5.68E-06,9.49E-06,-3.13E-05,-2.49E-05,-2.58E-06,-7.29E-06,8.61E-06
236.49,4.75E-06,1.12E-05,-3.22E-05,-1.91E-05,1.03E-05,1.44E-05,9.36E-06
236.69,3.88E-06,4.17E-06,-2.79E-05,-1.73E-05,2.31E-05,3.60E-05,8.25E-07
236.9,4.43E-06,-2.08E-06,-1.63E-05,-5.88E-06,3.59E-05,5.77E-05,-4.58E-06
237.1,8.54E-07,-5.34E-06,-1.20E-05,3.58E-06,4.01E-05,7.38E-05,-4.84E-06
237.31,3.05E-06,-7.53E-06,-1.83E-05,2.78E-06,2.35E-05,7.65E-05,-2.07E-06
237.51,2.47E-06,-9.98E-06,-1.65E-05,6.81E-06,6.96E-06,7.91E-05,-2.17E-06
237.72,-5.58E-07,-8.82E-06,-1.44E-05,3.07E-06,-9.63E-06,8.18E-05,1.86E-06
237.92,2.36E-06,-8.89E-06,-1.61E-05,-7.92E-06,-1.46E-05,8.11E-05,6.74E-06
238.13,3.55E-06,-5.43E-06,-3.08E-05,-1.79E-05,-1.03E-05,7.76E-05,1.49E-05
238.33,2.91E-06,-7.17E-06,-3.35E-05,-1.84E-05,-6.06E-06,7.41E-05,1.29E-05
238.54,2.45E-06,-7.28E-06,-3.32E-05,-2.97E-05,-1.77E-06,7.06E-05,1.67E-05
238.74,1.07E-06,-1.15E-06,-4.16E-05,-3.77E-05,-1.52E-05,5.11E-05,2.67E-05
238.95,1.22E-05,2.72E-05,-4.17E-05,-3.54E-05,-3.26E-05,2.81E-05,2.77E-05
239.15,1.35E-05,3.16E-05,-4.23E-05,-3.97E-05,-5.00E-05,5.10E-06,2.73E-05
239.36,1.10E-05,3.38E-05,-3.46E-05,-4.03E-05,-6.52E-05,-1.65E-05,2.35E-05
239.56,1.50E-05,3.30E-05,-3.55E-05,-4.23E-05,-5.58E-05,-2.27E-05,2.21E-05
239.77,1.59E-05,3.12E-05,-3.54E-05,-3.70E-05,-4.65E-05,-2.88E-05,1.89E-05
239.97,1.41E-05,2.82E-05,-3.33E-05,-3.02E-05,-3.71E-05,-3.50E-05,1.40E-05
240.18,1.22E-05,2.52E-05,-1.79E-05,-1.69E-05,-3.44E-05,-3.81E-05,7.06E-06
240.38,8.25E-06,2.01E-05,-1.70E-05,-1.64E-05,-4.40E-05,-3.54E-05,5.68E-06
240.59,7.16E-06,1.51E-05,-1.50E-05,-8.12E-06,-5.36E-05,-3.27E-05,-2.28E-06
240.8,7.50E-06,7.44E-06,-7.39E-06,-1.88E-06,-6.33E-05,-3.00E-05,-8.25E-06
241,-4.91E-06,-1.69E-05,-5.00E-06,-3.54E-06,-6.01E-05,-3.36E-05,-9.35E-06
241.21,-3.23E-06,-2.01E-05,-1.37E-05,-1.53E-05,-4.88E-05,-4.11E-05,-5.21E-06
241.41,-2.08E-06,-1.98E-05,-1.50E-05,-1.10E-05,-3.76E-05,-4.86E-05,-1.36E-06
241.62,-5.93E-06,-1.25E-05,-1.69E-05,-1.13E-05,-2.63E-05,-5.61E-05,3.82E-06
241.82,-9.23E-06,-2.02E-05,-2.10E-05,-1.86E-05,-1.79E-05,-4.33E-05,4.91E-06
242.03,-7.64E-06,-2.10E-05,-1.78E-05,-1.40E-05,-9.86E-06,-2.77E-05,7.23E-06
242.23,-6.29E-06,-1.64E-05,-2.04E-05,-2.05E-05,-1.82E-06,-1.22E-05,9.66E-06
242.44,-4.87E-06,9.86E-07,-1.65E-05,-1.94E-05,4.84E-06,-1.49E-06,1.15E-05
242.64,-6.17E-06,4.96E-06,-1.77E-05,-2.33E-05,3.76E-06,-1.78E-05,1.24E-05
242.85,-4.88E-06,1.22E-05,-1.82E-05,-2.09E-05,2.69E-06,-3.42E-05,8.12E-05
243.05,-1.22E-05,9.76E-06,-1.70E-05,-1.80E-05,1.62E-06,-5.06E-05,7.87E-05
243.26,-1.01E-05,1.64E-05,-1.19E-05,-9.13E-06,5.42E-06,-5.08E-05,7.70E-05
243.46,-1.23E-05,2.02E-05,-8.78E-06,-5.34E-06,1.59E-05,-2.91E-05,7.38E-05
243.67,-5.19E-06,2.02E-05,-1.18E-05,-8.21E-06,2.63E-05,-7.38E-06,7.88E-05
243.88,8.99E-07,2.70E-05,-1.44E-05,-4.28E-06,3.68E-05,1.43E-05,8.25E-05
244.08,7.54E-07,2.36E-05,-1.59E-05,-6.87E-06,3.96E-05,1.77E-05,8.20E-05
244.29,1.23E-06,2.63E-05,-1.70E-05,-4.90E-06,3.91E-05,1.28E-05,8.05E-05
244.49,4.50E-06,1.92E-05,-2.06E-05,-8.90E-06,3.86E-05,7.99E-06,7.99E-05
244.7,2.06E-06,1.91E-05,-2.12E-05,-7.32E-06,3.80E-05,3.16E-06,8.21E-05
244.9,1.02E-06,1.89E-05,-1.89E-05,-6.43E-06,5.87E-05,1.28E-05,1.60E-05
245.11,7.21E-06,2.11E-05,-2.07E-05,-1.39E-05,8.02E-05,2.30E-05,1.77E-05
245.31,3.27E-06,1.90E-05,-2.20E-05,-1.99E-05,0.00010167,3.32E-05,1.87E-05
245.52,4.44E-06,2.20E-05,-2.67E-05,-2.60E-05,0.00011087,4.16E-05,1.06E-05
245.72,1.48E-06,1.46E-05,-2.47E-05,-2.55E-05,8.11E-05,4.40E-05,7.81E-06
245.93,-1.68E-06,8.24E-06,-1.88E-05,-2.94E-05,5.13E-05,4.64E-05,1.97E-06
246.14,4.97E-08,1.28E-05,-2.27E-05,-2.97E-05,2.15E-05,4.88E-05,3.00E-06
246.34,-1.34E-06,4.73E-06,-1.54E-05,-2.17E-05,5.34E-06,5.04E-05,-1.40E-06
246.55,-5.31E-06,4.51E-06,-1.13E-05,-1.07E-05,2.12E-06,5.12E-05,-1.91E-06
246.75,-1.47E-06,5.43E-06,-2.05E-05,-1.76E-05,-1.10E-06,5.20E-05,2.65E-08
246.96,-1.16E-06,-5.70E-07,-2.03E-05,-8.58E-06,-4.32E-06,5.28E-05,-4.60E-06
247.16,7.76E-07,-8.56E-06,-2.59E-05,-8.04E-06,-1.90E-05,5.58E-05,-6.17E-06
247.37,4.11E-06,-3.01E-05,-2.04E-05,1.22E-06,-3.67E-05,5.92E-05,-1.56E-05
247.58,3.13E-06,-3.39E-05,-1.99E-05,-7.26E-07,-5.45E-05,6.27E-05,-6.74E-06
247.78,2.29E-06,-3.79E-05,-1.50E-05,1.51E-06,-7.23E-05,6.52E-05,-1.53E-05
